City,State,BankState,Term,NoEmp,NewExist,UrbanRural,DisbursementGross,MIS_Status
EVANSVILLE,IN,OH,84,4,Existing Business,Undefined,60000,0
NEW PARIS,IN,IN,60,2,Existing Business,Undefined,40000,0
BLOOMINGTON,IN,IN,180,7,New Business,Undefined,287000,0
BROKEN ARROW,OK,OK,60,2,New Business,Undefined,35000,0
ORLANDO,FL,FL,240,14,New Business,Undefined,229000,0
PLAINVILLE,CT,DE,120,19,New Business,Undefined,517000,0
UNION,NJ,SD,45,45,Existing Business,Undefined,600000,1
SUMMERFIELD,FL,AL,84,1,Existing Business,Undefined,45000,0
PORT SAINT JOE,FL,FL,297,2,Existing Business,Undefined,305000,0
GLASTONBURY,CT,CT,84,3,Existing Business,Undefined,70000,0
CHARLOTTE,NC,GA,84,1,Existing Business,Undefined,70000,0
CHICAGO,IL,OR,60,24,New Business,Undefined,150000,0
APEX,NC,MN,162,2,Existing Business,Urban,253400,0
SLATERSVILLE,RI,RI,120,2,Existing Business,Undefined,370000,0
WINSTON-SALEM,NC,NC,240,1,New Business,Undefined,225000,0
OKLAHOMA CITY,OK,NC,12,5,Existing Business,Undefined,350000,0
MIDLAND,TX,TX,60,5,New Business,Undefined,70000,0
CENTREVILLE,VA,MD,60,16,New Business,Undefined,100000,0
PLANO,TX,NY,84,12,Existing Business,Undefined,57500,0
KNOXVILLE,TN,TN,120,4,Existing Business,Undefined,50000,0
DUMAS,TX,SC,300,12,Existing Business,Undefined,615000,0
CORAL SPRINGS,FL,FL,87,2,New Business,Undefined,70000,0
JOHNSTON,RI,RI,114,6,New Business,Undefined,75000,0
EULESS,TX,TX,144,90,New Business,Undefined,1250000,0
LITTLE ROCK,AR,MS,126,7,New Business,Urban,137300,0
SAINT PETER,MN,MN,60,2,New Business,Undefined,39500,0
INDEPENDENCE,MO,NC,60,2,Existing Business,Undefined,50000,0
MARSHFIELD,MA,MA,240,3,New Business,Undefined,75000,0
CAMARILLO,CA,SD,83,18,Existing Business,Urban,438541,0
ANDERSON,SC,SC,240,1,Existing Business,Undefined,291000,0
MIAMI,FL,FL,84,4,New Business,Urban,51440,0
DALLAS,TX,TX,102,12,New Business,Undefined,600000,0
NEW ORLEANS,LA,LA,60,3,New Business,Urban,50000,0
WASHINGTON,IA,IA,84,2,Existing Business,Undefined,30000,0
LEANDER,TX,SD,80,2,New Business,Rural,63076,0
ROANOKE,VA,VA,84,2,New Business,Undefined,60000,0
KINSMAN,OH,OH,137,2,New Business,Undefined,47000,1
NORTH EASTON,MA,RI,84,9,New Business,Undefined,70000,0
SPRINGFIELD,TN,CA,84,4,New Business,Urban,20000,0
LEWISBURG,TN,TN,180,7,New Business,Undefined,245000,0
SPRINGFIELD,IL,IL,84,3,New Business,Undefined,225000,0
LOUISVILLE,KY,KY,126,5,New Business,Undefined,40000,0
LELAND,MS,MS,120,2,Existing Business,Undefined,100000,0
EDINBURGH,IN,IN,120,16,Existing Business,Undefined,197485,1
Newburgh,NY,SD,84,3,New Business,Undefined,25000,0
Dover (census name for Dover C,MA,MA,12,20,New Business,Undefined,100000,0
SMITHVILLE,OH,OH,84,1,New Business,Undefined,71000,0
Chicago,IL,SD,84,4,New Business,Undefined,25000,0
Marina del Ray,CA,SD,84,6,New Business,Undefined,30570,0
